Depth,Position,Agg_counts,Agg_mean,Agg_err
65,1,46177.0,96.20208333333333,0.004653579554743429
65,2,53257.0,110.95208333333333,0.004333229096353795
65,3,54625.0,113.80208333333333,0.004278625498405581
67.5,3,45797.0,95.41041666666666,0.005054245162774752
67.5,2,43490.0,90.60416666666667,0.0047951842171336245
67.5,1,36618.0,76.2875,0.005225798860343486
70,1,29243.0,60.922916666666666,0.005847753235072462
70,2,34751.0,72.39791666666666,0.005364340623656304
70,3,35359.0,73.66458333333334,0.005318020571430319
72.5,3,28207.0,58.764583333333334,0.005954174394332066
72.5,2,27595.0,57.489583333333336,0.006019837954163138
72.5,1,23622.0,49.2125,0.00650641360506457
